code_lav;name;rating;user_ratings_total;laundry_lat;laundry_lng;coddistsec
0;LAVAHOME;4.1;39;39.4686155;-0.3860922;348
1;La Colada Benicalap;4.0;67;39.487423;-0.3934829;1619
2;Bugadry • Valencia;4.5;33;39.4626888;-0.389336;840
3;Lavanderia Autoservicio;4.3;49;39.46065;-0.3903996;814
4;Lavanderia CE Colada Expres;4.7;46;39.4604514;-0.3656249;1012
5;Lavandería Autoservicio Lavanda Laundry Justo y Pastor;4.5;42;39.46946500000001;-0.347995;1205
6;WASH & GO LAVANDERÍA AUTOSERVICIO;4.4;44;39.4923722;-0.3932723;1612
7;Lavandería Autoservicio Open wash Valencia Jesús;4.4;28;39.4625517;-0.3861291;335
8;The Laundry Room Lavanderías Autoservicio;4.8;48;39.4946917;-0.3785937;1521
9;La Colada de Ana;4.6;50;39.4697685;-0.3384586;1151
10;Lavandería Autoservicio Open Wash Valencia Waksman;4.4;23;39.4568266;-0.3743761;1046
11;SpeedyWash Lavandería Autoservicio;4.6;28;39.466765;-0.3396693;1239
12;Lavanderías Mr Jeff;4.6;26;39.4627167;-0.3615747;1001
13;Tintoreria la Bruixeta;4.4;22;39.4801067;-0.395307;420
14;La Colada;4.7;21;39.4573179;-0.3625897;1008
15;Lavandería Auto-Servicio;4.1;27;39.47990360000001;-0.377208;111
16;Tintoreria Lavanderia Conchi;4.5;34;39.488497;-0.3941267;1619
17;LAVANDERÍA ECOLAUNDRY;4.6;22;39.4794259;-0.3978793;406
18;LaColada Clean & Dry;3.8;21;39.47327;-0.3537099;609